CD_CNES,DS_ESPECIALIDADE,TIPO,DS_DADO,NM_REGIAO_SAUDE,ANO,QTD_PROD,QTD_META,PORTE_HOSP,cluster,cluster2
6424236,Cirurgia Geral,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2023,2468,2520,Hospital Geral III,0,1
2234386,Cirurgia Geral,SIA,CONSULTA,01 - Verdes Campos,2023,2737,2520,Hospital Geral I,0,1
2234386,Cirurgia Geral,SIA,CONSULTA,01 - Verdes Campos,2024,1419,2520,Hospital Geral I,0,1
2234386,Cirurgia Geral,SIA,CONSULTA,01 - Verdes Campos,2022,1503,2520,Hospital Geral I,0,1
2248328,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2023,2625,2520,Hospital Geral III,0,1
2248328,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2022,2132,2520,Hospital Geral III,0,1
7513151,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,5911,2520,Hospital Geral III,0,1
7513151,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,3054,2520,Hospital Geral III,0,1
7513151,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2023,7139,2520,Hospital Geral III,0,1
2252244,Cirurgia Geral,SIA,CONSULTA,30 - Vale da Luz,2022,299,2520,Hospital Geral II,0,1
2244101,Cirurgia Geral,SIA,CONSULTA,01 - Verdes Campos,2022,2747,2520,Hospital Geral II,0,1
2244101,Cirurgia Geral,SIA,CONSULTA,01 - Verdes Campos,2023,2595,2520,Hospital Geral II,0,1
2244101,Cirurgia Geral,SIA,CONSULTA,01 - Verdes Campos,2024,1559,2520,Hospital Geral II,0,1
2248328,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2024,1688,2520,Hospital Geral III,0,1
2254611,Cirurgia Geral,SIA,CONSULTA,14 - Fronteira Noroeste,2022,5502,2520,Hospital Geral III,0,1
2254611,Cirurgia Geral,SIA,CONSULTA,14 - Fronteira Noroeste,2023,6872,2520,Hospital Geral III,0,1
2254611,Cirurgia Geral,SIA,CONSULTA,14 - Fronteira Noroeste,2024,3878,2520,Hospital Geral III,0,1
5223962,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,605,2520,Hospital Geral III,0,1
5223962,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,996,2520,Hospital Geral III,0,1
5223962,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2023,1449,2520,Hospital Geral III,0,1
2252260,Cirurgia Geral,SIA,CONSULTA,30 - Vale da Luz,2022,1548,2520,Hospital Geral II,0,1
2252260,Cirurgia Geral,SIA,CONSULTA,30 - Vale da Luz,2024,901,2520,Hospital Geral II,0,1
2252260,Cirurgia Geral,SIA,CONSULTA,30 - Vale da Luz,2023,1250,2520,Hospital Geral II,0,1
2248204,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2022,2269,2520,Hospital Geral III,0,1
2248204,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2023,1684,2520,Hospital Geral III,0,1
2248204,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2024,1273,2520,Hospital Geral III,0,1
2707918,Cirurgia Geral,SIA,CONSULTA,16 - Alto Uruguai Gaúcho,2022,1160,2520,Hospital Geral III,0,1
2707918,Cirurgia Geral,SIA,CONSULTA,16 - Alto Uruguai Gaúcho,2023,681,2520,Hospital Geral III,0,1
2707918,Cirurgia Geral,SIA,CONSULTA,16 - Alto Uruguai Gaúcho,2024,660,2520,Hospital Geral III,0,1
2257815,Cirurgia Geral,SIA,CONSULTA,05 - Bons Ventos,2022,746,2520,Hospital Geral II,0,1
2257815,Cirurgia Geral,SIA,CONSULTA,05 - Bons Ventos,2024,1906,2520,Hospital Geral II,0,1
2257815,Cirurgia Geral,SIA,CONSULTA,05 - Bons Ventos,2023,1823,2520,Hospital Geral II,0,1
2254964,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2024,1810,2520,Hospital Geral III,0,1
2254964,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2022,2878,2520,Hospital Geral III,0,1
2254964,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2023,3195,2520,Hospital Geral III,0,1
2248220,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2022,413,2520,Hospital Geral III,0,1
2248220,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2023,1572,2520,Hospital Geral III,0,1
2248220,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2024,1387,2520,Hospital Geral III,0,1
5384117,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2022,3536,2520,Hospital Geral III,0,1
5384117,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2023,3732,2520,Hospital Geral III,0,1
5384117,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2024,2768,2520,Hospital Geral III,0,1
2234432,Cirurgia Geral,SIA,CONSULTA,27 - Jacuí Centro,2022,171,2520,Hospital Geral I,0,1
2234432,Cirurgia Geral,SIA,CONSULTA,27 - Jacuí Centro,2024,1180,2520,Hospital Geral I,0,1
2234432,Cirurgia Geral,SIA,CONSULTA,27 - Jacuí Centro,2023,740,2520,Hospital Geral I,0,1
2262002,Cirurgia Geral,SIA,CONSULTA,22 - Pampa,2022,112,2520,Hospital Geral II,0,1
2262002,Cirurgia Geral,SIA,CONSULTA,22 - Pampa,2023,120,2520,Hospital Geral II,0,1
2262002,Cirurgia Geral,SIA,CONSULTA,22 - Pampa,2024,648,2520,Hospital Geral II,0,1
2266474,Cirurgia Geral,SIA,CONSULTA,27 - Jacuí Centro,2023,159,2520,Hospital Geral III,0,1
2266474,Cirurgia Geral,SIA,CONSULTA,27 - Jacuí Centro,2024,362,2520,Hospital Geral III,0,1
2266474,Cirurgia Geral,SIA,CONSULTA,27 - Jacuí Centro,2022,46,2520,Hospital Geral III,0,1
2241048,Cirurgia Geral,SIA,CONSULTA,24 - Campos de Cima da Serra,2023,2214,2520,Hospital Geral III,0,1
2241048,Cirurgia Geral,SIA,CONSULTA,24 - Campos de Cima da Serra,2022,1336,2520,Hospital Geral III,0,1
2248271,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2023,2207,2520,Hospital Geral II,0,1
2248271,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2022,2598,2520,Hospital Geral II,0,1
2261030,Cirurgia Geral,SIA,CONSULTA,13 - Diversidade,2023,1944,2520,Hospital Geral II,0,1
2261030,Cirurgia Geral,SIA,CONSULTA,13 - Diversidade,2022,1923,2520,Hospital Geral II,0,1
2261030,Cirurgia Geral,SIA,CONSULTA,13 - Diversidade,2024,1419,2520,Hospital Geral II,0,1
2262568,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2023,3690,2520,Hospital Geral III,0,1
2262568,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,2383,2520,Hospital Geral III,0,1
2262568,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,3581,2520,Hospital Geral III,0,1
2241048,Cirurgia Geral,SIA,CONSULTA,24 - Campos de Cima da Serra,2024,1240,2520,Hospital Geral III,0,1
2244357,Cirurgia Geral,SIA,CONSULTA,02 - Entre Rios,2023,1483,2520,Hospital Geral III,0,1
2244357,Cirurgia Geral,SIA,CONSULTA,02 - Entre Rios,2024,1166,2520,Hospital Geral III,0,1
2248271,Cirurgia Geral,SIA,CONSULTA,03 - Fronteira Oeste,2024,1228,2520,Hospital Geral II,0,1
2259893,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2022,1227,2520,Hospital Geral III,0,1
2259893,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2023,1347,2520,Hospital Geral III,0,1
2259893,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2024,1309,2520,Hospital Geral III,0,1
2232022,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2023,5360,2520,Hospital Geral III,0,1
2232022,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2024,5348,2520,Hospital Geral III,0,1
2232022,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2022,4058,2520,Hospital Geral III,0,1
2232103,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,2928,2520,Hospital Geral III,0,1
2244357,Cirurgia Geral,SIA,CONSULTA,02 - Entre Rios,2022,574,2520,Hospital Geral III,0,1
2248298,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2024,452,2520,Hospital Geral III,0,1
2248298,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2022,1204,2520,Hospital Geral III,0,1
2248298,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2023,1303,2520,Hospital Geral III,0,1
2261065,Cirurgia Geral,SIA,CONSULTA,13 - Diversidade,2024,1912,2520,Hospital Geral II,0,1
2261065,Cirurgia Geral,SIA,CONSULTA,13 - Diversidade,2022,1207,2520,Hospital Geral II,0,1
2261065,Cirurgia Geral,SIA,CONSULTA,13 - Diversidade,2023,3024,2520,Hospital Geral II,0,1
2232162,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2022,6206,2520,Hospital Geral III,0,1
2232162,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2023,4832,2520,Hospital Geral III,0,1
2232162,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2024,2860,2520,Hospital Geral III,0,1
2232103,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2023,2928,2520,Hospital Geral III,0,1
2232103,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,713,2520,Hospital Geral III,0,1
2232030,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2023,4553,2520,Hospital Geral III,0,1
2232030,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2022,4087,2520,Hospital Geral III,0,1
2259907,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2024,1252,2520,Hospital Geral III,0,1
2259907,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2023,1942,2520,Hospital Geral III,0,1
2259907,Cirurgia Geral,SIA,CONSULTA,11 - Sete Povos das Missões,2022,1282,2520,Hospital Geral III,0,1
2228602,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2022,541,2520,Hospital Geral II,0,1
2228602,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2023,1030,2520,Hospital Geral II,0,1
2227762,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2022,2112,2520,Hospital Geral III,0,1
2227762,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2023,2731,2520,Hospital Geral III,0,1
2227762,Cirurgia Geral,SIA,CONSULTA,06 - Vale do Paranhana e Costa Serra,2024,1524,2520,Hospital Geral III,0,1
2232030,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2024,2370,2520,Hospital Geral III,0,1
2232146,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2022,1749,2520,Hospital Geral III,0,1
2246953,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2023,2024,2520,Hospital Geral II,0,1
2246953,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2024,1254,2520,Hospital Geral II,0,1
2228602,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2024,708,2520,Hospital Geral II,0,1
2228726,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2022,2738,2520,Hospital Geral II,0,1
2228726,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2024,1843,2520,Hospital Geral II,0,1
2257548,Cirurgia Geral,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2022,2667,2520,Hospital Geral III,0,1
2257548,Cirurgia Geral,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2023,3243,2520,Hospital Geral III,0,1
2257548,Cirurgia Geral,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2024,2080,2520,Hospital Geral III,0,1
2232146,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2024,1130,2520,Hospital Geral III,0,1
2232146,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2023,2066,2520,Hospital Geral III,0,1
2246953,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2022,3024,2520,Hospital Geral II,0,1
2246929,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2024,1720,2520,Hospital Geral III,0,1
2246929,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2022,1658,2520,Hospital Geral III,0,1
2246929,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2023,2145,2520,Hospital Geral III,0,1
2228726,Cirurgia Geral,SIA,CONSULTA,15 - Caminho das Águas,2023,3168,2520,Hospital Geral II,0,1
6844138,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2022,2582,2520,Hospital Geral II,0,1
6844138,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2024,1879,2520,Hospital Geral II,0,1
6844138,Cirurgia Geral,SIA,CONSULTA,07 - Vale dos Sinos,2023,2700,2520,Hospital Geral II,0,1
2261987,Cirurgia Geral,SIA,CONSULTA,22 - Pampa,2022,1141,2520,Hospital Geral III,0,1
2261987,Cirurgia Geral,SIA,CONSULTA,22 - Pampa,2024,995,2520,Hospital Geral III,0,1
2261987,Cirurgia Geral,SIA,CONSULTA,22 - Pampa,2023,3208,2520,Hospital Geral III,0,1
3508528,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2022,4522,2520,Hospital Geral III,0,1
2235323,Cirurgia Geral,SIA,CONSULTA,20 - Rota da Produção,2022,47,2520,Hospital Geral II,0,1
2235323,Cirurgia Geral,SIA,CONSULTA,20 - Rota da Produção,2023,36,2520,Hospital Geral II,0,1
2235323,Cirurgia Geral,SIA,CONSULTA,20 - Rota da Produção,2024,1458,2520,Hospital Geral II,0,1
2246740,Cirurgia Geral,SIA,CONSULTA,18 - Araucárias,2022,652,2520,Hospital Geral II,0,1
2246740,Cirurgia Geral,SIA,CONSULTA,18 - Araucárias,2023,2146,2520,Hospital Geral II,0,1
2246740,Cirurgia Geral,SIA,CONSULTA,18 - Araucárias,2024,1197,2520,Hospital Geral II,0,1
2792974,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2023,1643,2520,Hospital Geral III,0,1
2792974,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2024,1581,2520,Hospital Geral III,0,1
2792974,Cirurgia Geral,SIA,CONSULTA,28 - Vale do Rio Pardo,2022,1947,2520,Hospital Geral III,0,1
3508528,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2023,5548,2520,Hospital Geral III,0,1
3508528,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2024,2894,2520,Hospital Geral III,0,1
2227673,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2024,0,2520,Hospital Geral I,0,1
2232014,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2024,2357,2520,Hospital Geral III,0,1
2232014,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2022,3439,2520,Hospital Geral III,0,1
2246813,Cirurgia Geral,SIA,CONSULTA,19 - Botucaraí,2022,1680,2520,Hospital Geral I,0,1
2246813,Cirurgia Geral,SIA,CONSULTA,19 - Botucaraí,2023,1774,2520,Hospital Geral I,0,1
2246813,Cirurgia Geral,SIA,CONSULTA,19 - Botucaraí,2024,460,2520,Hospital Geral I,0,1
2693801,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,7,2520,Hospital Geral III,0,1
2693801,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,2,2520,Hospital Geral III,0,1
2232014,Cirurgia Geral,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2023,3470,2520,Hospital Geral III,0,1
2246910,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2022,365,2520,Hospital Geral I,0,1
2246910,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2023,1746,2520,Hospital Geral I,0,1
2246910,Cirurgia Geral,SIA,CONSULTA,17 - Planalto,2024,1214,2520,Hospital Geral I,0,1
2232995,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2022,2207,2520,Hospital Geral III,0,1
2232995,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2023,3551,2520,Hospital Geral III,0,1
2232995,Cirurgia Geral,SIA,CONSULTA,21 - Sul,2024,1588,2520,Hospital Geral III,0,1
2707950,Cirurgia Geral,SIA,CONSULTA,04 - Belas Praias,2022,1502,2520,Hospital Geral II,0,1
2707950,Cirurgia Geral,SIA,CONSULTA,04 - Belas Praias,2024,3440,2520,Hospital Geral II,0,1
2707950,Cirurgia Geral,SIA,CONSULTA,04 - Belas Praias,2023,2414,2520,Hospital Geral II,0,1
2793008,Cirurgia Geral,SIA,CONSULTA,05 - Bons Ventos,2023,622,2520,Hospital Geral III,0,1
2793008,Cirurgia Geral,SIA,CONSULTA,05 - Bons Ventos,2022,626,2520,Hospital Geral III,0,1
2793008,Cirurgia Geral,SIA,CONSULTA,05 - Bons Ventos,2024,581,2520,Hospital Geral III,0,1
2232049,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,3198,2520,Hospital Geral III,0,1
2232049,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2023,2803,2520,Hospital Geral III,0,1
2232049,Cirurgia Geral,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,1586,2520,Hospital Geral III,0,1
2232073,Traumato/Ortopedia,SIA,CONSULTA,07 - Vale dos Sinos,2022,0,96,Hospital Geral III,2,0
2232073,Traumato/Ortopedia,SIA,CONSULTA,07 - Vale dos Sinos,2024,0,96,Hospital Geral III,2,0
2232073,Traumato/Ortopedia,SIA,CONSULTA,07 - Vale dos Sinos,2023,0,96,Hospital Geral III,2,0
2232154,Traumato/Ortopedia,SIA,CONSULTA,07 - Vale dos Sinos,2023,3166,96,Hospital Geral III,2,0
2232154,Traumato/Ortopedia,SIA,CONSULTA,07 - Vale dos Sinos,2024,2300,96,Hospital Geral III,2,0
2232014,Oftalmologia,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2023,20021,2880,Hospital Geral III,0,1
2232014,Oftalmologia,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2024,12112,2880,Hospital Geral III,0,1
2232014,Oftalmologia,SIA,CONSULTA,08 - Vale do Caí e Metropolitana,2022,24407,2880,Hospital Geral III,0,1
6389104,Oftalmologia,SIA,CONSULTA,05 - Bons Ventos,2023,11401,2880,Hospital Geral II,0,1
6424236,Oftalmologia,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2022,1763,2880,Hospital Geral III,0,1
6424236,Oftalmologia,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2024,1266,2880,Hospital Geral III,0,1
6424236,Oftalmologia,SIA,CONSULTA,09 - Carbonífera/Costa Doce,2023,2042,2880,Hospital Geral III,0,1
2232154,Traumato/Ortopedia,SIA,CONSULTA,07 - Vale dos Sinos,2022,2134,96,Hospital Geral III,2,0
2237253,Traumato/Ortopedia,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2022,4302,96,Hospital Geral III,2,0
6389104,Oftalmologia,SIA,CONSULTA,05 - Bons Ventos,2022,8607,2880,Hospital Geral II,0,1
6389104,Oftalmologia,SIA,CONSULTA,05 - Bons Ventos,2024,8213,2880,Hospital Geral II,0,1
2241161,Oftalmologia,SIA,CONSULTA,25 - Vinhedos e Basalto,2024,3707,2880,Hospital Geral I,0,1
2241161,Oftalmologia,SIA,CONSULTA,25 - Vinhedos e Basalto,2022,5770,2880,Hospital Geral I,0,1
2241161,Oftalmologia,SIA,CONSULTA,25 - Vinhedos e Basalto,2023,6079,2880,Hospital Geral I,0,1
2233320,Oftalmologia,SIA,CONSULTA,21 - Sul,2024,2920,2880,Hospital Geral II,0,1
2233320,Oftalmologia,SIA,CONSULTA,21 - Sul,2023,5725,2880,Hospital Geral II,0,1
2233320,Oftalmologia,SIA,CONSULTA,21 - Sul,2022,8210,2880,Hospital Geral II,0,1
2237253,Traumato/Ortopedia,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2023,6381,96,Hospital Geral III,2,0
2237253,Traumato/Ortopedia,SIA,CONSULTA,10 - Capital e Vale do Gravataí,2024,4979,96,Hospital Geral III,2,0
